name,image_url
Evangelion: 1.0 You Are (Not) Alone,https://cdn.myanimelist.net/images/anime/7/74975l.jpg
Full Metal Panic? Fumoffu,https://cdn.myanimelist.net/images/anime/4/75260l.jpg
Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,https://cdn.myanimelist.net/images/anime/8/22498l.jpg
Kara no Kyoukai 3: Tsuukaku Zanryuu,https://cdn.myanimelist.net/images/anime/4/21735l.jpg
Mobile Suit Gundam 00 Second Season,https://cdn.myanimelist.net/images/anime/9/12782l.jpg
Nisemonogatari,https://cdn.myanimelist.net/images/anime/1044/103654l.jpg
Tsukimonogatari,https://cdn.myanimelist.net/images/anime/6/68259l.jpg
Ansatsu Kyoushitsu (TV),https://cdn.myanimelist.net/images/anime/5/75639l.jpg
Aria The Avvenire,https://cdn.myanimelist.net/images/anime/10/74338l.jpg
Baby Steps 2nd Season,https://cdn.myanimelist.net/images/anime/9/73683l.jpg
D.Gray-man,https://cdn.myanimelist.net/images/anime/1127/141116l.jpg
"Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari",https://cdn.myanimelist.net/images/anime/9/28463l.jpg
Gintama: Jump Festa 2014 Special,https://cdn.myanimelist.net/images/anime/1327/110925l.jpg
Lupin III: Cagliostro no Shiro,https://cdn.myanimelist.net/images/anime/5/26182l.jpg
Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,https://cdn.myanimelist.net/images/anime/6/80899l.jpg
Ookiku Furikabutte: Natsu no Taikai-hen,https://cdn.myanimelist.net/images/anime/10/18671l.jpg
Saiunkoku Monogatari 2nd Season,https://cdn.myanimelist.net/images/anime/1998/139962l.jpg
Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,https://cdn.myanimelist.net/images/anime/11/65927l.jpg
